2656,11,ירושלים ,3000,ירושלים ,9568 ,אדוניהו הכהן ,synonym of 124 ,124
2657,11,ירושלים ,3000,ירושלים ,9569 ,אדניהו כהן ,synonym of 124 ,124
2658,11,ירושלים ,3000,ירושלים ,9570 ,אדוניה הכהן ,synonym of 124 ,124
2659,11,ירושלים ,3000,ירושלים ,9571 ,אדינהו הכהן ,synonym of 124 ,124
2660,11,ירושלים ,3000,ירושלים ,125 ,רחובות הבוכרים ,official ,125
2661,11,ירושלים ,3000,ירושלים ,9572 ,יצחק ,synonym of 125 ,125
2662,11,ירושלים ,3000,ירושלים ,9573 ,בוכרים ,synonym of 125 ,125
2663,11,ירושלים ,3000,ירושלים ,9574 ,ב זקנ בוכרי ,synonym of 125 ,125
2664,11,ירושלים ,3000,ירושלים ,9575 ,יעקב דוד ,synonym of 125 ,125
2665,11,ירושלים ,3000,ירושלים ,9576 ,הבוכרים שכ ,synonym of 125 ,125
2666,11,ירושלים ,3000,ירושלים ,9577 ,הבוכרים רחובות ,synonym of 125 ,125
2667,11,ירושלים ,3000,ירושלים ,9578 ,הבוכרים ,synonym of 125 ,125
2668,11,ירושלים ,3000,ירושלים ,9579 ,רחובות הבוכר ,synonym of 125 ,125
2669,11,ירושלים ,3000,ירושלים ,9580 ,רחובות בוכרי ,synonym of 125 ,125
2670,11,ירושלים ,3000,ירושלים ,9581 ,רחובות בוכרים ,synonym of 125 ,125
2671,11,ירושלים ,3000,ירושלים ,126 ,עזרא ,official ,126
2672,11,ירושלים ,3000,ירושלים ,127 ,ישא ברכה ,official ,127
2673,11,ירושלים ,3000,ירושלים ,128 ,תלמודי אברהם ,official ,128
2674,11,ירושלים ,3000,ירושלים ,9582 ,אברהם תלמודי ,synonym of 128 ,128
2675,11,ירושלים ,3000,ירושלים ,9583 ,תלמודי ,synonym of 128 ,128
2676,11,ירושלים ,3000,ירושלים ,129 ,גול בן ציון ,official ,129
2677,11,ירושלים ,3000,ירושלים ,9584 ,בן ציון גול ,synonym of 129 ,129
2678,11,ירושלים ,3000,ירושלים ,130 ,דוד החזן ,official ,130
2679,11,ירושלים ,3000,ירושלים ,9585 ,חזן דוד ,synonym of 130 ,130
2680,11,ירושלים ,3000,ירושלים ,131 ,פרחי חיים ,official ,131
2681,11,ירושלים ,3000,ירושלים ,9586 ,פרחי שלום ,synonym of 131 ,131
2682,11,ירושלים ,3000,ירושלים ,9587 ,חיים פרחי ,synonym of 131 ,131
2683,11,ירושלים ,3000,ירושלים ,132 ,זכריה הרופא ,official ,132
2684,11,ירושלים ,3000,ירושלים ,9588 ,זכריא הרופא ,synonym of 132 ,132
2685,11,ירושלים ,3000,ירושלים ,133 ,רצאבי ,official ,133
2686,11,ירושלים ,3000,ירושלים ,134 ,חבשוש ,official ,134
2687,11,ירושלים ,3000,ירושלים ,135 ,קאפח ,official ,135
2688,11,ירושלים ,3000,ירושלים ,9589 ,קאפח יחיא ,synonym of 135 ,135
